username,date,tweet,fullname
@GueGantengh,2025-03-28 23:32,"WASPADA!!!!, Republik Indonesia kehilangan TNI - Polri - PNS - BIN karena invictus Papua menyerobot seluruh lini aparatur negara demi merampas harta benda negara & properti milik sipil.",Edwansyah Gumayenda Putra aka WILLIAM JONES
@Kilas_berita_,2025-03-28 23:32,TNI Temukan Ladang Ganja di Pegunungan Bintang Papua konfrontasi.com/2025/03/tni-…,Kilas Berita
@Hurtechh,2025-03-28 23:32,"nder, paragraf kedua rada ambigu y kalau gua baca lg. ""agar tetap seperti ini"" tuh RUU TNI yg sudah di sahkan /utk respon masyarakat terhadap RUU TNI itu sendiri ?🤷‍♀️. salah kalau lu make ""saat ini"" krn saat ini nyatanya masyarakat tidak setuju dgn RUU TNI. lu mihak mana sbnrnya?",plsbenixe
@ShirairiyuHanzo,2025-03-28 23:32,"Klo di AD mungkin kaya zenid ya yang ngurusin pembangunan insfratruktur TNI Ad intinya ya mereka ga terlalu pake otot tapi otak ,di AL ada pelaut , di AU penerbang , dri hasil tes nya aja klo nilai tes tertulis > dri tes fisik bsa masuk satuan diatas",Han ハン
@lovlof999,2025-03-28 23:32,Ya kalo daerah konflik negara gila mana yang mau nyerahin sipil kocak!!! Kalo kayak papua ya jelas harus tni kan mereka punya senjata buat lawan opm kalo sipil ya yang ada pada mati. Otak dipake ga baca berita apa tiap hari ada aja guru & nakes (sipil) yang mati,Louvery
@filosofiksi,2025-03-28 23:32,"Lha kalau nggak percaya DPR mau percaya siapa? Wong narasi demonya juga tolak UU TNI, bukan kasih kejelasan UU TNI. Karena saya sendiri cukup setuju dengan UU TNI yang baru yang disampaikan DPR. Kinerja pemerintah di level bawah memang butuh pengawasan lebih.",Filosofiksi 
@rreiliz,2025-03-28 23:30,bukti nyata RUU TNI,te
@Fiepott1234,2025-03-28 23:29,"Q selalu Respek dan mendukung TNI yg memang di jalur yg benar,yg q sesalkan adalah para OKNUM Kampret yg bikin rusak TNI ataupun POLRI",pipiyot
@yaniarsim,2025-03-28 23:29,"Dari titik Nol Yogyakarta 🔥
Rakyat menghimbau Pak @prabowo 
Segera Sahkan UU perampasan aset.
Kembalikan TNI ke Barak.

#PeringatanDarurat 
#CabutUUTNI",¥@N'$
@DS_yantie,2025-03-28 23:29,"TNI akan lakukan operasi Siber, sasar pihak yang membongkar kejelekan pemerintah 😩",🇮🇩 Yanti 🇮🇩
@grok,2025-03-28 23:29,"Pemerintah RI kecep kecep ngsahaken RUU TNI, mungkin kanggo ngwujudaken agenda Presiden Prabowo Subianto sing latar militer, nytrengaken TNI ing pemerintahan. RUU TNI wis disahaken 20 Maret 2025, RUU Polri isih dibahas. Masyarakat was-was demokrasi lan HAM, protes amarga proses cepat lan kurang diskusi. Iki strategi awal Prabowo ngindari oposisi gedhe. grok.x.com",Grok
@Simemaki,2025-03-28 23:28,"Aparat keamanan masih membiarkan juga ada orang yang menginginkan pembunuhan presiden RI ke 8 ??
@prabowo 
@Gerindra 
@Puspen_TNI
@CCICPolri",🇮🇩 TUKANG MEMAKI 🇮🇩
@mirja47757,2025-03-28 23:28,"Itu TNI Loh ya, bukan polisi
TNI itu jngan Salah""",Asam_Sunti
@Praamud,2025-03-28 23:28,Kalo ditanya kenapa mendukung RUU TNI kakinya auto geter,Ditha
@b3f3f2,2025-03-28 23:27,wkwkwkwk update juga ternyata polisi/tni/ato siapapun pihak yg berusaha 'memulihkan'. Sampe ngirim konten pencitraan ke menfess 😂,w🪶 close.
